text,track_name,track_artist,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"Your cruel device  
Your blood, like ice  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
  
Your mouth, so hot  
Your web, I'm caught  
Your skin, so wet  
Black lace, on sweat  
  
I hear you calling and it's needles and pins (and pins)  
I want to hurt you just to hear you screaming my name  
Don't want to touch you but you're under my skin (deep in)  
I want to kiss you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison...  
  
(Guitar solo)  
  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison (Poi-son)  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
Yeah  
Well I don't want to break these chains  
Poison (Poi-son)  
Runnin' deep inside my veins  
Burnin' deep inside my brain  
Poison (Poi-son)  
And I don't want to break these chains  
Poison

",Poison,Alice Cooper,70,rock,album rock,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,270080
"Your cruel device  
Your blood, like ice  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
  
Your mouth, so hot  
Your web, I'm caught  
Your skin, so wet  
Black lace, on sweat  
  
I hear you calling and it's needles and pins (and pins)  
I want to hurt you just to hear you screaming my name  
Don't want to touch you but you're under my skin (deep in)  
I want to kiss you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison...  
  
(Guitar solo)  
  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison (Poi-son)  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
Yeah  
Well I don't want to break these chains  
Poison (Poi-son)  
Runnin' deep inside my veins  
Burnin' deep inside my brain  
Poison (Poi-son)  
And I don't want to break these chains  
Poison

",Poison,Alice Cooper,70,rock,classic rock,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,270080
"Your cruel device  
Your blood, like ice  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
  
Your mouth, so hot  
Your web, I'm caught  
Your skin, so wet  
Black lace, on sweat  
  
I hear you calling and it's needles and pins (and pins)  
I want to hurt you just to hear you screaming my name  
Don't want to touch you but you're under my skin (deep in)  
I want to kiss you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison...  
  
(Guitar solo)  
  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison (Poi-son)  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
Yeah  
Well I don't want to break these chains  
Poison (Poi-son)  
Runnin' deep inside my veins  
Burnin' deep inside my brain  
Poison (Poi-son)  
And I don't want to break these chains  
Poison

",Poison,Alice Cooper,59,rock,classic rock,0.3,0.894,2,-7.786,0,0.109,0.0515,0.000333,0.125,0.268,118.631,269600
"Your cruel device  
Your blood, like ice  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
  
Your mouth, so hot  
Your web, I'm caught  
Your skin, so wet  
Black lace, on sweat  
  
I hear you calling and it's needles and pins (and pins)  
I want to hurt you just to hear you screaming my name  
Don't want to touch you but you're under my skin (deep in)  
I want to kiss you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison...  
  
(Guitar solo)  
  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison (Poi-son)  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
Yeah  
Well I don't want to break these chains  
Poison (Poi-son)  
Runnin' deep inside my veins  
Burnin' deep inside my brain  
Poison (Poi-son)  
And I don't want to break these chains  
Poison

",Poison,Alice Cooper,57,rock,classic rock,0.304,0.91,2,-6.096,0,0.117,0.0524,3.61e-05,0.111,0.305,118.794,270787
"Your cruel device  
Your blood, like ice  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
  
Your mouth, so hot  
Your web, I'm caught  
Your skin, so wet  
Black lace, on sweat  
  
I hear you calling and it's needles and pins (and pins)  
I want to hurt you just to hear you screaming my name  
Don't want to touch you but you're under my skin (deep in)  
I want to kiss you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison...  
  
(Guitar solo)  
  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison (Poi-son)  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
Yeah  
Well I don't want to break these chains  
Poison (Poi-son)  
Runnin' deep inside my veins  
Burnin' deep inside my brain  
Poison (Poi-son)  
And I don't want to break these chains  
Poison

",Poison,Alice Cooper,59,rock,hard rock,0.3,0.894,2,-7.786,0,0.109,0.0515,0.000333,0.125,0.268,118.631,269600
"Your cruel device  
Your blood, like ice  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
  
Your mouth, so hot  
Your web, I'm caught  
Your skin, so wet  
Black lace, on sweat  
  
I hear you calling and it's needles and pins (and pins)  
I want to hurt you just to hear you screaming my name  
Don't want to touch you but you're under my skin (deep in)  
I want to kiss you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison...  
  
(Guitar solo)  
  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison (Poi-son)  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
Yeah  
Well I don't want to break these chains  
Poison (Poi-son)  
Runnin' deep inside my veins  
Burnin' deep inside my brain  
Poison (Poi-son)  
And I don't want to break these chains  
Poison

",Poison,Alice Cooper,57,rock,hard rock,0.304,0.91,2,-6.096,0,0.117,0.0524,3.61e-05,0.111,0.305,118.794,270787
"Your cruel device  
Your blood, like ice  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
  
Your mouth, so hot  
Your web, I'm caught  
Your skin, so wet  
Black lace, on sweat  
  
I hear you calling and it's needles and pins (and pins)  
I want to hurt you just to hear you screaming my name  
Don't want to touch you but you're under my skin (deep in)  
I want to kiss you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison...  
  
(Guitar solo)  
  
One look, could kill  
My pain, your thrill  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
You're poison, running through my veins  
You're poison  
I don't want to break these chains  
Poison (Poi-son)  
  
I want to love you but I better not touch (don't touch)  
I want to hold you, but my senses tell me to stop  
I want to kiss you but I want it too much (too much)  
I want to taste you but your lips are venomous poison  
Yeah  
Well I don't want to break these chains  
Poison (Poi-son)  
Runnin' deep inside my veins  
Burnin' deep inside my brain  
Poison (Poi-son)  
And I don't want to break these chains  
Poison

",Poison,Alice Cooper,70,rock,hard rock,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,270080
"[Verse 1]  
If you want it, take it  
I should have said it before  
Tried to hide it, fake it  
I can't pretend anymore  
  
[Pre-Chorus]  
I only want to die alive  
Never by the hands of a broken heart  
I don't wanna hear you lie tonight  
Now that I've become who I really am  
  
[Chorus]  
This is the part when I say I don't want it  
I'm stronger than I've been before  
This is the part when I break free  
Cause I can't resist it no more  
  
This is the part when I say I don't want it  
I'm stronger than I've been before  
This is the part when I break free  
Cause I can't resist it no more  
  
You were better, deeper  
I was under a spell  
Like a deadly fear I am, babe  
On the highway to hell  
  
I only want to die alive  
Never by the hands of a broken heart  
I don't wanna hear you lie tonight  
Now that I've become who I really am  
  
[Bridge]  
This is the part when I say I don't want it  
I'm stronger than I've been before  
This is the part when I break free  
Cause I can't resist it no more  
  
[Chorus]  
This is the part when I say I don't want it  
I'm stronger than I've been before  
This is the part when I break free  
Cause I can't resist it no more  
  
(Our love baby, oooh)  
The thought on your body  
I came alive  
It was lethal  
It was fatal  
In my dreams it felt so right  
But I woke up and pretend  
Oh baby  
  
This is the part when I say I don't want it  
I'm stronger than I've been before  
This is the part when I break free  
Cause I can't resist it no more  
  
This is the part when I say I don't want it  
I'm stronger than I've been before  
This is the part when I break free  
Cause I can't resist it no more

",Break Free,Ariana Grande,11,latin,latin hip hop,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840
"Uh huh, life's like this  
Uh huh, uh huh, that's the way it is  
'Cause life's like this  
Uh huh, uh huh that's the way it is  
  
Chill out, what you yellin' for?  
Lay back, it's all been done before  
And if you could only let it be  
You will see  
I like you the way you are  
When we're drivin' in your car  
And you're talking to me one on one  
But you've become  
  
Somebody else 'round everyone else  
You're watching your back like you can't relax  
You're tryin' to be cool  
You look like a fool to me  
Tell me  
  
Why do you have to go and make things so complicated?  
I see the way you're  
Acting like you're somebody else, gets me frustrated  
And life's like this you,  
You fall and you crawl and you break and you take what you get and you turn it
into  
Honesty, you promised me I'm never gonna find you fake it  
No, no, no  
  
You come over unannounced  
Dressed up like you're somethin' else  
Where you are ain't where it's at you see, you're making me  
Laugh out when you strike your pose  
Take off all your preppy clothes  
You know, you're not fooling anyone  
When you've become  
  
Somebody else 'round everyone else  
You're watchin' your back like you can't relax  
You're tryin' to be cool  
You look like a fool to me  
Tell me  
  
Why do you have to go and make things so complicated?  
I see the way you're  
Acting like you're somebody else, gets me frustrated  
And life's like this you,  
You fall and you crawl and you break and you take what you get and you turn it
into  
Honesty, you promised me, I'm never gonna find you fake it  
No, no, no  
  
No, no, no (No)  
No, no, no (No)  
No, no, no (No)(No)  
  
Chill out, what you yellin' for?  
Lay back, it's all been done before  
And if you could only let it be  
You will see  
  
Somebody else 'round everyone else  
You're watching your back like you can't relax  
You're trying to be cool,  
You look like a fool to me  
Tell me  
  
Why do you have to go and make things so complicated?  
I see the way you're  
Acting like you're somebody else, gets me frustrated  
And life's like this you,  
You fall and you crawl and you break and you take what you get and you turn it
into  
Honesty, you promised me, I'm never gonna find you fake it  
No, no  
  
Why do you have to go and make things so complicated? (Yeah, yeah)  
I see the way you're  
Acting like you're somebody else, gets me frustrated  
And life's like this you,  
You fall and you crawl and you break and you take what you get and you turn it
into  
Honesty, you promised me I'm never gonna find you fake it  
No, no, no

",Complicated,Avril Lavigne,77,pop,post-teen pop,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507
"Uptown girl  
She's been living in her uptown world  
I bet she's never had a backstreet guy  
I bet her momma never told her why  
  
I'm gonna try for an uptown girl  
She's been living in her white bread world  
As long as anyone with hot blood can  
And now she's looking for a downtown man  
That's what I am  
  
And when she knows what  
She wants from her time  
And when she wakes up  
And makes up her mind  
  
She'll see I'm not so tough  
Just because  
I'm in love with an uptown girl  
You know I've seen her in her uptown world  
She's getting tired of her high class toys  
And all her presents from her uptown boys  
She's got a choice  
  
Uptown girl  
You know I can't afford to buy her pearls  
But maybe someday when my ship comes in  
She'll understand what kind of guy I've been  
And then I'll win  
  
And when she's walking  
She's looking so fine  
And when she's talking  
She'll say that she's mine  
  
She'll say I'm not so tough  
Just because  
I'm in love  
With an uptown girl  
She's been living in her white bread world  
As long as anyone with hot blood can  
And now she's looking for a downtown man  
That's what I am  
  
Uptown girl  
She's my uptown girl  
You know I'm in love  
With an uptown girl

",Uptown Girl,Billy Joel,68,pop,electropop,0.696,0.943,4,-2.962,1,0.0431,0.0736,0.0,0.653,0.833,129.003,194867
