word,count
left,2433
peepholes,1
suited,2
street,564
hand,1648
defeat,69
foes,13
steelo,7
airplay,1
j,2
sittin,110
bent,35
stairway,9
either,96
corner,236
bettin,2
grants,1
cee-lo,2
champs,1
laughin,31
base-heads,1
tryna,479
sell,195
broken,1189
amps,8
g-packs,1
forever,2162
reminiscin,3
task,18
force,212
flipped,15
runnin,289
block,124
shootin,36
revolution,121
catch,544
body,1394
houston,9
caught,486
off-guard,1
mac-10,2
grass,123
ran,221
cheetah,5
thoughts,475
assassin,29
picked,58
mac,15
brothers,159
spit,166
lead,426
hittin,25
back-flip,1
chicks,30
scream,418
arm,132
shook,68
look,3168
gave,809
squeeze,108
click,51
stuck,421
tried,789
cock,62
shoot,355
danger,125
finally,493
pulled,140
saw,781
three,614
bullets,98
chamber,20
jettin,1
buildin,7
lobby,12
full,732
children,432
prob'ly,1
game,700
younger,81
pullin,33
triggers,11
bringin,20
fame,147
claim,98
corners,31
crews,6
guns,169
goners,1
broad,28
daylight,99
stick-up,3
kids,383
run,2785
45s,1
gauges,1
fact,165
back-to-back,1
snatchin,5
cracks,70
snitch,9
gettin,302
knocked,88
stash,15
coke,57
price,217
crackhead,11
nice,498
customers,3
measuring,2
pots,11
slide,108
vacation,64
inside,2493
information,26
keeps,375
large,21
erasin,1
wives,10
basin,1
deep,1202
breath,711
sleep,1179
cousin,38
beyond,337
walls,464
intelligence,10
defined,19
think,4151
crime,190
new,2227
york,134
state,297
mind,3712
dreams,1114
gangsta,66
drinkin,79
mots,1
tec,48
makin,185
sure,829
cash,185
correct,26
stepped,47
investments,1
stocks,4
sewin,1
blocks,21
winnin,78
gunfights,1
mega-cops,1
walkin,123
finger,169
figures,15
pockets,44
bigger,155
brother,287
testin,9
smith,18
wesson,10
undressin,4
buddha,4
shelter,112
whenever,182
frustrated,6
hijack,7
delta,9
pj,15
blend,22
plays,91
strays,12
young,937
bitches,256
grazed,2
maze,30
rats,30
trapped,125
plus,87
island,86
packed,43
stories,105
peoples,10
livin,315
nights,589
jet-black,1
fiends,17
fight,1356
crack,206
max,14
sit,498
lamp,29
capone,3
drug,135
scripts,4
sewn,10
legal,14
luxury,34
rings,88
flooded,23
stones,86
homes,29
sane,44
parallel,14
hell,1403
must,1017
maintain,18
prosperous,3
though,975
dangerous,125
cops,67
arrest,22
blamin,2
held,300
hostages,3
use,505
tougher,6
dykes,2
takin,101
plateau,9
rhymin,3
vitamin,2
capsule,8
smooth,95
criminal,56
breaks,157
box,150
eats,30
tapes,4
city,750
sleeps,36
villains,14
creeps,34
learned,254
hustle,51
scuffle,1
freaks,20
addict,26
sneakers,6
20,41
beepers,1
streets,354
greet,31
blunts,15
teach,171
inhale,32
words,1373
lay,733
puzzled,4
backtrack,10
earlier,6
times,1013
equivalent,1
nasty,59
nas,56
area,52
cause,30
mass,67
hysteria,30
blunt,77
fronts,4
matter,853
manhunt,1
ton,24
reefer,3
malcolm,6
catchin,16
jungle,138
fever,218
king,559
poetic,6
much,2135
major,35
atlanta,8
brave-r,1
pager,1
ace,22
bass,171
40-side,2
place,2038
givin,134
grace,328
wait,1507
dose,49
might,1263
nike-head,1
wear,377
chains,188
excite,4
feds,28
thing,2031
performer,3
strange,338
warmer,19
gain,75
mad-phat,1
fluid,13
halftime,13
feel,6971
hemmed,1
strike,172
calmly,2
hype,58
track,252
set,1008
ill,637
convict,3
kills,110
cassettes,1
sex,200
stereo,36
sets,84
ll,86
wreck,76
relax,85
strive,19
fan,65
jackson,20
jewels,14
hope,1677
kicks,57
mother,586
stomach,58
rise,785
wise,86
exercise,23
microphone,20
dies,145
83,3
sparkin,2
scared,478
grab,153
parks,2
kick,304
little,3719
raps,21
understand,820
jam,86
slave,143
ships,25
watch,1352
chips,20
load,132
glock,59
clips,12
versatile,3
switches,5
faggot,32
bisexual,1
intellectual,4
professional,3
question,207
near,438
well-known,2
format,20
explore,29
next,886
foul,35
freestyle,5
trial,25
wild,508
hate,1387
rhyme-biter,1
stay,2674
tuned,9
soon,612
real,1521
exhale,19
field,64
morning,945
song,1099
afternoon,94
half,390
tune,162
darkness,678
heartless,44
narc,2
hit,1046
marcus,7
garvey,3
hardly,93
sparked,3
blast,101
herb,13
slayin,1
fast,636
third,63
chill,113
andre,3
slay,39
bag,249
john,105
jay,9
matine,1
hits,128
5-0,3
god,2505
44,18
biters,1
cop,54
garcia,1
plant,34
seeds,46
extra,40
mouth,540
phillie,4
damp,12
goes,1040
manhattan,6
staten,2
fat,171
boogie,126
props,13
clout,66
rest,773
queensbridge,5
92,7
ghost,366
whose,103
mine,1748
minewhose,15
dom,5
watchin,94
gandhi,3
charged,11
writin,10
book,165
past,728
margin,1
throbbin,1
mechanical,4
movement,36
understandable,1
murderers,6
theme,32
night,4878
fiend,33
pipe,49
activation,2
facin,6
pappy,9
mason,9
pens,4
embracin,1
wipe,79
sweat,155
dome,24
phlegm,4
suede,43
timbs,4
feets,1
cipher,3
complete,105
whether,104
cruisin,19
sikh,1
cab,33
montero,1
jeep,18
beats,203
fallin,174
asleep,201
six,270
feet,802
presidents,7
bless,111
throughout,41
trip,138
aimin,2
beef,37
housing,2
release,169
scriptures,6
maybe,1675
hitler,5
yet,610
mild,14
money-gettin,1
rollin,165
honey-stickin,1
golden,220
