danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.446,0.423,2,1,0.0366,0.0,0.105,176.165,-8.175,0.822,0.19,171360,0,club
0.541,0.929,11,0,0.0595,0.0111,0.812,107.009,-4.891,0.00159,0.316,273826,0,industrial
0.609,0.693,9,1,0.0273,0.0,0.3,119.992,-6.395,0.000315,0.452,215586,0,acoustic
0.305,0.992,9,1,0.0855,0.0902,0.227,94.478,-3.891,3.69e-05,0.12,164533,0,grindcore
0.112,0.997,1,1,0.0989,0.195,0.359,153.9,-3.124,4.5e-06,0.0606,278026,0,death-metal
0.75,0.564,1,1,0.0236,0.0,0.0931,113.528,-8.67,0.179,0.672,260613,0,funk
0.466,0.183,1,1,0.043,5.58e-06,0.0925,123.324,-13.693,0.882,0.201,261120,0,bluegrass
0.668,0.683,1,1,0.039,0.897,0.626,122.47,-12.862,0.00544,0.675,363026,0,industrial
0.532,0.882,4,0,0.0552,1.46e-06,0.417,159.41,-10.583,0.0166,0.757,241400,0,goth
0.832,0.598,7,1,0.0411,6.68e-06,0.339,122.002,-11.115,0.323,0.971,163640,0,rockabilly
0.498,0.807,0,1,0.0428,0.00903,0.178,99.949,-5.246,0.000708,0.455,159626,0,power-pop
0.432,0.928,9,0,0.0582,0.00716,0.693,92.009,-5.329,0.000418,0.16,312966,0,goth
0.755,0.347,2,0,0.0792,2.99e-05,0.115,138.673,-13.853,0.154,0.634,240066,0,kids
0.782,0.463,2,1,0.0469,0.000119,0.302,122.091,-13.078,0.012,0.826,337544,0,chicago-house
0.242,0.959,11,1,0.0925,9.55e-05,0.301,103.797,-4.055,0.000286,0.432,137106,0,power-pop
0.604,0.596,0,1,0.0251,6.11e-06,0.352,130.683,-7.705,4.48e-05,0.366,184040,0,goth
0.0749,0.824,11,0,0.088,0.855,0.106,80.231,-7.492,0.0,0.322,272453,0,black-metal
0.486,0.611,9,1,0.0396,0.0,0.366,129.825,-5.39,0.267,0.902,125346,0,bluegrass
0.419,0.855,0,1,0.0327,0.0,0.272,154.098,-4.782,7.69e-05,0.261,257054,0,acoustic
0.45,0.931,1,1,0.0833,0.309,0.0978,192.152,-6.38,0.000393,0.673,278506,0,industrial
0.169,0.858,7,1,0.083,0.0787,0.413,93.981,-6.175,1.11e-05,0.333,220680,0,death-metal
0.417,0.979,2,0,0.0766,0.0642,0.103,112.223,-3.737,4.44e-06,0.422,212000,0,industrial
0.291,0.2,6,1,0.0297,1.2e-05,0.112,72.078,-14.747,0.612,0.262,255373,0,honky-tonk
0.193,0.977,4,1,0.177,0.179,0.322,153.672,-4.159,0.00412,0.0458,118186,0,grindcore
0.527,0.812,5,0,0.0359,8.67e-06,0.0941,124.965,-3.228,0.0018,0.287,231891,0,industrial
0.45,0.995,7,1,0.0726,0.887,0.0813,173.994,-3.784,2.72e-05,0.897,251866,0,drum-and-bass
0.587,0.599,9,1,0.0295,4.95e-05,0.107,123.725,-13.288,0.0389,0.867,264893,0,power-pop
0.61,0.808,6,1,0.0549,0.44,0.362,137.086,-5.957,0.0952,0.556,291373,0,afrobeat
0.441,0.976,8,0,0.147,0.0475,0.298,130.411,-3.09,0.000335,0.248,220413,0,alt-rock
0.615,0.385,7,1,0.0312,0.0,0.241,126.164,-9.68,0.876,0.728,143973,0,honky-tonk
0.344,0.932,0,1,0.0572,0.824,0.376,101.15,-4.348,1.15e-05,0.405,155098,0,power-pop
0.415,0.964,11,1,0.157,0.0344,0.484,178.567,-5.549,0.000509,0.326,437413,0,death-metal
0.457,0.962,2,1,0.0511,0.28,0.301,76.506,-6.733,2.29e-05,0.46,221506,0,heavy-metal
0.473,0.99,8,1,0.217,0.0391,0.0797,119.492,-3.537,4.54e-06,0.0371,212466,0,death-metal
0.509,0.257,11,1,0.0409,2.08e-06,0.378,144.761,-12.737,0.942,0.647,115866,0,honky-tonk
0.258,0.564,4,0,0.0467,0.583,0.17,114.917,-9.345,0.000628,0.037,275066,0,black-metal
0.356,0.981,1,1,0.0602,0.923,0.316,114.094,-13.364,3.62e-06,0.0469,115105,0,grindcore
0.563,0.396,4,1,0.0298,0.0,0.781,96.497,-11.916,0.854,0.782,119866,0,honky-tonk
0.253,0.72,6,1,0.0514,0.0025,0.111,82.477,-7.925,0.000558,0.533,337171,0,industrial
0.653,0.492,11,1,0.0274,7.06e-06,0.815,125.175,-8.913,0.599,0.613,155933,0,honky-tonk
0.688,0.2,0,1,0.0473,0.0,0.133,136.959,-15.908,0.78,0.765,214786,0,honky-tonk
0.376,0.701,2,1,0.0308,0.481,0.281,154.763,-9.47,0.274,0.72,484573,0,bluegrass
0.851,0.818,4,1,0.0789,2.94e-06,0.0945,119.006,-4.637,0.112,0.808,238906,0,dance
0.738,0.675,8,1,0.385,0.0,0.0935,91.474,-5.842,0.163,0.455,146400,0,j-dance
0.314,0.264,6,1,0.0417,0.0,0.101,92.669,-15.305,0.698,0.454,356600,0,world-music
0.396,0.42,5,1,0.0315,0.0,0.132,131.472,-8.238,0.694,0.355,467089,0,world-music
0.23,0.988,3,1,0.0948,0.715,0.0374,109.766,-5.06,1.1e-06,0.451,65093,0,grindcore
0.517,0.994,10,0,0.103,0.772,0.0641,146.972,-6.545,0.000537,0.175,347040,0,industrial
0.645,0.574,7,1,0.0917,9.21e-05,0.124,103.921,-12.268,0.56,0.748,362826,0,bluegrass
0.185,0.854,8,1,0.0446,0.0169,0.133,147.76,-3.532,0.00196,0.85,162912,0,power-pop
0.557,0.951,0,1,0.033,0.000172,0.157,93.97,-3.003,0.00194,0.528,214400,0,rock
0.177,0.911,10,1,0.0687,0.682,0.336,156.018,-6.871,4.31e-05,0.103,592493,0,black-metal
0.323,0.963,2,1,0.178,0.668,0.191,105.389,-4.97,1.51e-05,0.262,91378,0,grindcore
0.753,0.866,7,1,0.286,0.000114,0.327,171.901,-7.314,0.0517,0.598,146000,0,trip-hop
0.573,0.917,4,0,0.0527,0.00143,0.117,88.097,-6.892,0.007,0.467,340906,0,heavy-metal
